"q","p","s","t","d","trade_seq","trade_id","tick_direction","iv","instrument_name","index_price","direction"
"0.6","0.0165","TRADE","1641005912220","2022-01-01","234","197400889","3","61.54","BTC-2JAN22-47000-P","46786","sell"
"2.2","0.002","TRADE","1641005884034","2022-01-01","261","197400878","3","74.66","BTC-7JAN22-40000-P","46782.92","sell"
"0.1","0.0515","TRADE","1641005858406","2022-01-01","18","197400852","3","69.22","BTC-14JAN22-47000-C","46810.09","sell"
"1.3","0.087","TRADE","1641005850008","2022-01-01","546","197400845","3","69.55","BTC-28JAN22-48000-P","46818.24","buy"
"2","0.0185","TRADE","1641005837273","2022-01-01","176","197400819","2","68.6","BTC-7JAN22-45000-P","46836.04","sell"
"0.1","0.027","TRADE","1641005716795","2022-01-01","611","197400798","0","71.72","BTC-7JAN22-48000-C","46816.89","buy"
"0.1","0.012","TRADE","1641032382876","2022-01-01","88","197419114","2","57.45","BTC-2JAN22-47000-C","47052.71","buy"
"2.4","0.0105","TRADE","1641032345293","2022-01-01","429","197419074","1","68.44","BTC-7JAN22-44000-P","47048.32","buy"
"0.1","5.0E-4","TRADE","1641032310088","2022-01-01","305","197419068","3","68.04","BTC-2JAN22-50000-C","47040.29","sell"
"0.1","0.0105","TRADE","1641032227461","2022-01-01","428","197419037","0","68.6","BTC-7JAN22-44000-P","47040.65","buy"
"0.1","0.004","TRADE","1641032122402","2022-01-01","299","197418995","2","55.47","BTC-2JAN22-48000-C","47073.88","sell"
"0.1","0.059","TRADE","1641032120229","2022-01-01","445","197418992","2","66.99","BTC-28JAN22-46000-P","47073.29","sell"
"2","0.0015","TRADE","1641032116680","2022-01-01","28","197418972","2","96.88","BTC-21JAN22-30000-P","47082.35","buy"
"1","0.0075","TRADE","1641032114711","2022-01-01","56","197418971","0","73.56","BTC-21JAN22-38000-P","47086.2","buy"
"5","0.0075","TRADE","1641032114490","2022-01-01","59","197418965","1","58.66","BTC-3JAN22-46000-P","47086.2","buy"
"0.1","0.0395","TRADE","1641032088720","2022-01-01","719","197418916","2","70.49","BTC-25FEB22-40000-P","47147.01","sell"
"0.2","0.003","TRADE","1641032026684","2022-01-01","373","197418858","3","57.19","BTC-2JAN22-46000-P","47143.03","sell"
"0.1","0.0015","TRADE","1641031975194","2022-01-01","411","197418823","1","59.95","BTC-2JAN22-49000-C","47175.35","sell"
"2","0.01","TRADE","1641031966509","2022-01-01","427","197418819","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"15.9","0.01","TRADE","1641031966496","2022-01-01","426","197418818","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"8.2","0.01","TRADE","1641031966473","2022-01-01","425","197418817","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"8.8","0.01","TRADE","1641031966473","2022-01-01","424","197418816","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"12","0.01","TRADE","1641031966473","2022-01-01","423","197418815","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"3.1","0.01","TRADE","1641031966473","2022-01-01","422","197418814","0","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"10","5.0E-4","TRADE","1641031678074","2022-01-01","82","197418729","3","96.2","BTC-7JAN22-36000-P","47183.6","sell"
"0.1","0.0245","TRADE","1641031620917","2022-01-01","301","197418718","2","84.85","BTC-24JUN22-120000-C","47163.06","buy"
"10","5.0E-4","TRADE","1641031613127","2022-01-01","81","197418704","2","96.19","BTC-7JAN22-36000-P","47150.44","sell"
"2","0.01","TRADE","1641031592978","2022-01-01","61","197418683","0","58.83","BTC-3JAN22-48000-C","47184.02","buy"
"0.1","0.04","TRADE","1641031437503","2022-01-01","718","197418623","2","71.41","BTC-25FEB22-40000-P","47276.26","sell"
"0.1","0.024","TRADE","1641031425625","2022-01-01","314","197418620","2","74.1","BTC-25FEB22-65000-C","47269.41","sell"
"1","0.0395","TRADE","1641031419681","2022-01-01","344","197418612","0","69.06","BTC-28JAN22-52000-C","47285.27","sell"
"0.3","0.0075","TRADE","1641031310646","2022-01-01","743","197418534","0","72.21","BTC-7JAN22-52000-C","47237.68","buy"
"0.1","0.06","TRADE","1641031305855","2022-01-01","2651","197418525","2","73.21","BTC-25MAR22-40000-P","47229.82","sell"
